Pergunta,Resposta
"12 Mesmo após as requisições, o investigado e/ou ente federativo me informou que não possui o documento listado. O que fazer?","Nesse caso, a ausência do documento obrigatório deve estar devidamente justificada no objetivo da solicitação. Diante da justificativa apresentada, a equipe técnica do GATE avaliará caso a caso a possibilidade de se atender parcialmente - mas ainda com alguma utilidade para o solicitante - a SAT. Caso seja possível, a SAT será atendida conforme a negociação do escopo com o solicitante; caso contrário, a SAT será devolvida com a devida informação. De qualquer forma, para conseguir avançar na elaboração da SAT, é preciso fazer o upload ou indicar o index de pelo menos um documento obrigatório."
13 O que são documentos adicionais?,"São aqueles documentos que, muito embora a análise técnica seja possível na sua ausência, o envio deles permitirá à equipe técnica do GATE produzir uma IT de forma mais célere, eficiente e completa. Em outras palavras, eles não são imprescindíveis para análise técnica, mas seu envio ajuda o trabalho dos técnicos periciais."
14 Não possuo todos os documentos adicionais listados. Ainda assim posso enviar a SAT ao GATE?,"Sim. Caso o solicitante não possua todos os documentos adicionais listados, é possível o envio da SAT ao GATE sem qualquer prejuízo. Lembre-se apenas que o envio desta categoria de documentos pode resultar em uma IT mais completa e mais eficiente para sua investigação."
15 O que é complementaridade?,"A natureza complementar das atividades do GATE está prevista nos artigos 1º e 9º, inciso II, da Resolução GPGJ nº 2.197/18. Significa dizer que o GATE não se substitui aos órgãos de execução; aos demais órgãos internos do MPRJ; aos órgãos técnicos e/ou com poder de polícia ou regulatório do Poder Executivo ou demais órgãos de controle (interno ou externo); ou aos profissionais cuja prestação de serviços técnicos for necessária para que os investigados cumpram seus deveres legais ou obrigações assumidas perante o MPRJ. Sendo assim, o GATE nunca será o primeiro a atuar no caso concreto. Sua análise sempre irá se basear na manifestação técnica do órgão dotado de poder de polícia, investigativo ou regulatório, inclusive órgãos de controle interno e externo; no laudo pericial; ou na manifestação técnica produzida pelo perito oficial do juízo."
16 O órgão com poder de polícia ou regulatório sobre os fatos submetidos à análise não atendeu às minhas requisições. Estou impedido de pedir ajuda ao GATE?,"Em casos excepcionais, devidamente justificados e documentados pelo solicitante, e de alta prioridade segundo os critérios fixados pelo GATE em protocolos próprios, a Coordenação poderá dispensar o cumprimento do requisito da complementaridade. Contudo, em se tratando de omissão ou de negligência do órgão competente para realizar a inspeção, a vistoria, ou para apresentar ao MPRJ os demais elementos indispensáveis à investigação, a ausência de comprovação da atuação estruturante ou sancionatória por parte do órgão solicitante, voltada a superar o quadro de omissão, poderá gerar efeitos negativos na priorização da solicitação ou, em último caso, a inadmissibilidade de solicitações futuras, da mesma natureza."
"17 Onde indico o prazo para atendimento para uma SAT que possui prazo processual, prazo para conclusão do inquérito ou data limite para cumprimento?","Na página ""atendimento prioritário"" existe as opções legais de prioridade; e, em seguida, as hipóteses de atendimento prioritário, tais como prazo processual, prazo prescricional, prazo para conclusão do inquérito ou situação excepcional que justifique a data limite. Aqui é o momento adequado para informar o prazo; ele NÃO deve ser informado no campo da dúvida técnica."
"18 Meu processo/procedimento precisa de atendimento prioritário. Contudo, na página de indicação do prazo para o qual preciso da resposta do GATE, não consigo selecionar a data que desejo. O que fazer?","Não é possível selecionar data que represente um prazo inferior a 10 (dez) dias úteis. Isso porque entende-se que este é o prazo mínimo para que a equipe do GATE consiga atender à solicitação, sem prejuízo da inadmissibilidade em hipóteses com prazo superior que, a critério da Coordenação do GATE, se mostrem inexequíveis no tempo indicado pelo solicitante."
"19 Ao concluir o preenchimento da SAT, verifiquei que há um equívoco. Posso alterá-la antes de enviá-la ao GATE?","Sim. Na última página de preenchimento há um resumo de tudo que foi solicitado. Caso se verifique algum equívoco, basta selecionar a seção correspondente e editá-la antes de enviar a SAT ao GATE."
"20 Ao final da SAT preenchida pelo servidor, existe o botão ""criar SAT"". O que significa?","Quando o usuário logado for servidor, ao final da SAT é necessária enviá-la para aprovação e assinatura do Membro. Sendo assim, o botão ""criar"" significa que a SAT foi criada e está pronta para aprovação. Em breve, alteraremos o disposto no botão para facilitar o entendimento do usuário."
21 O Membro é avisado pelo sistema de que a SAT está pronta para assinatura?,"Não. Por enquanto, cabe ao servidor que preencheu a SAT avisar, da forma que entender mais adequada, ao Membro que a SAT está disponível na ""lista de SATs"" e pronta para assinatura."
22 O que é a lista de SATs?,"Lista de SATs é a página que reúne todas as SATs vinculadas de alguma forma ao usuário logado no sistema. No caso de Membro, é aqui que ele aprova e envia a SAT ao GATE, ou realiza as edições necessárias. Em breve, será aqui que haverá o acompanhamento do status de produção da informação técnica."
"23 O que significa quando a SAT está ""aguardando aprovação""?","Significa que, apesar de devidamente preenchida pelo servidor do órgão de execução, ainda não houve assinatura do Membro responsável. A autenticação pelo Membro é imprescindível para o atendimento da SAT, já que consta como requisito na Resolução GPGJ nº 2.197/18. Somente após a assinatura do Membro é que a SAT é enviada a este grupo especializado."
24 Se o próprio Membro preencher a SAT também é necessária a sua assinatura?,"Não. Caso o login e senha de acesso reconhecerem que é um Membro logado, ao elaborar a SAT e clicar em ""enviar SAT"" ela é automaticamente enviada a este órgão sem a necessidade de nenhuma outra ação."
"25 É possível que haja um Membro solicitante, mas outro assine a SAT?","Sim. Mesmo que a determinação de elaboração da SAT no procedimento seja feita por um Membro e este conste como Membro solicitante, é possível que a assinatura e autenticação da SAT seja feita por outro. Nesse caso, quem assinou a SAT figurará como Membro solicitante/responsável pela solicitação."
26 Como posso consultar o andamento da SAT?,"O andamento da SAT ainda não está automatizado. Portanto, caso o solicitante deseje consultar o andamento da SAT, é necessário entrar em contato com a secretaria do GATE por e-mail, a fim de obter as informações desejadas."
