Pergunta,Resposta
Ainda preciso do SEI para pedir análises no GATE?,Não. Todas as solicitações de análise técnica (SAT) elaboradas a partir do dia 29/04/2024 devem ser encaminhadas ao GATE através do novo Portal de Serviços. As solicitações via SEI serão inadmitidas.
O SEI continuará sendo utilizado para o atendimento das SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O sistema SEI ainda será empregado no processamento das SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
As SATs ainda serão atendidas por meio do SEI?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI permanecerá como ferramenta para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O uso do SEI para as SATs será mantido?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda vai ser a plataforma para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI seguirá sendo usado no atendimento das SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI continua sendo o sistema para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda será a base para o atendimento das SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI vai continuar sendo utilizado nas SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda é a ferramenta para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI permanece como sistema para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda será a plataforma para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda vai ser usado para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
O SEI ainda será o sistema para as SATs?,"Em parte. Até que haja o desenvolvimento completo do novo Portal de Serviços do GATE, o SEI ainda servirá para tramitação interna do procedimento entre admissibilidade e núcleo técnico, bem como para o envio da informação técnica (IT). Além disso, no caso de eventual inadmissibilidade da SAT, o procedimento volta a tramitar pelo SEI. Em outras palavras, por enquanto, o Portal de Serviços é apenas a nova porta de entrada das solicitações. A tendência é que, a médio prazo, o SEI seja abandonado de vez."
Como posso acessar o novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Qual é o procedimento para fazer login no novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
"Preciso de ajuda para entrar no novo Portal de Serviços do GATE, como devo proceder?","O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Alguém pode me explicar como realizar o login no novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
"Estou com dificuldades para logar no novo Portal de Serviços do GATE, o que devo fazer?","O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Como faço para entrar no novo sistema de serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Quais são os passos para acessar o novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Me ensine a fazer login no novo Portal de Serviços do GATE,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Como proceder para acessar o novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
"Preciso logar no novo Portal de Serviços do GATE, como faço isso?","O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Alguém sabe como acessar o novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
"Estou tentando acessar o novo Portal de Serviços do GATE, mas não consigo, o que está errado?","O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Como devo proceder para logar no novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Queria saber como faço para entrar no novo Portal de Serviços do GATE,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Alguém pode me ajudar a entender como logar no novo Portal de Serviços do GATE?,"O login e senha são os mesmos utilizados para acessar o SCA, sistema que dá acesso, por exemplo, ao contracheque."
Como posso proceder se o procedimento que preciso não está listado no sistema?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O que devo fazer caso o procedimento desejado não esteja disponível na lista?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
Não encontrei o procedimento que preciso na lista. Como devo agir?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O procedimento que eu quero não aparece na lista. Qual é o próximo passo?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
E se o procedimento que eu necessito não estiver na lista? O que fazer?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O sistema não mostra o procedimento que eu preciso. Como resolver isso?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
Não consigo encontrar o procedimento desejado na lista. O que fazer?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O que fazer quando o procedimento necessário não está listado?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O procedimento que eu preciso não está na lista. Como proceder?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
Não há opção para o procedimento que eu quero. O que devo fazer?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O procedimento que eu gostaria de solicitar não aparece na lista. Como devo proceder?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O que fazer se o procedimento que eu preciso não estiver disponível na lista?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O procedimento que eu desejo não está na lista. Como devo agir?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
Não encontrei o procedimento que eu quero na lista. O que fazer?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
O procedimento que eu preciso não está listado. Como devo proceder?,"É provável que você tenha digitado o número do procedimento de forma equivocada. O número do procedimento deve ser preenchido corretamente, segundo o padrão do MGP, SEI ou Integras. Para garantir, é interessante copiar e colar o número."
Qual município devo selecionar se o fato impacta mais de um município sob minha responsabilidade?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Em casos de impacto regional, como devo proceder na seleção do município?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Se o fato atinge mais de um município sob minha atribuição, qual devo escolher?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Como devo selecionar o município quando o fato tem alcance regional?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Qual é o critério para escolher o município em situações de impacto regional?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Quando um fato afeta mais de um município sob minha responsabilidade, como devo selecionar?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Em situações de impacto regional, qual município deve ser selecionado?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Se o fato gera impacto em mais de um município, qual devo marcar?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Como proceder na seleção do município quando o fato atinge mais de uma localidade?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Qual município devo escolher se o fato tem alcance regional?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Em casos de impacto que ultrapassam um município, como devo selecionar?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Se o fato afeta mais de um município sob minha atribuição, qual devo indicar?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Como devo selecionar o município quando o impacto é regional?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Qual município devo selecionar se o fato atinge mais de uma localidade sob minha responsabilidade?,"No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
"Em situações de impacto que abrangem mais de um município, como devo proceder na seleção?","No caso de impacto regional, todos os municípios atingidos devem ser selecionados. Em caso de impacto estadual, basta selecionar ""Estado do Rio de Janeiro""."
Como posso associar meu pedido ao documento previamente gerado pelo GATE em casos de complementação de IT anterior?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Qual é o procedimento para vincular uma solicitação a um documento já produzido pelo GATE em complementações de IT anteriores?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Preciso saber como linkar meu pedido ao documento anterior do GATE em uma complementação de IT,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
"Como faço para conectar meu pedido ao documento que o GATE já gerou antes, em casos de complementação de IT?","Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Gostaria de entender como relacionar meu pedido ao documento preexistente do GATE em uma complementação de IT,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
"Em situações de complementação de IT, como devo proceder para associar meu pedido ao documento anterior do GATE?","Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Como vincular uma nova solicitação ao documento já criado pelo GATE em complementações de IT?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Qual a maneira correta de ligar meu pedido ao documento que o GATE produziu anteriormente em casos de complementação de IT?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Preciso de ajuda para conectar meu pedido ao documento prévio do GATE em uma complementação de IT,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Como proceder para associar meu pedido ao documento já emitido pelo GATE em complementações de IT anteriores?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
"Em complementações de IT, como faço para referenciar meu pedido ao documento que o GATE já gerou?","Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Como devo fazer para vincular meu pedido ao documento anterior do GATE em casos de complementação de IT?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Gostaria de saber o passo a passo para linkar meu pedido ao documento preexistente do GATE em complementações de IT,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Como posso garantir que meu pedido esteja vinculado ao documento que o GATE já produziu em complementações de IT?,"Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
"Em casos de complementação de IT, qual é a forma de associar meu pedido ao documento que o GATE já criou?","Nesse caso, basta selecionar ""sim"" para a pergunta e, após, digitar o número da IT. Esse passo só funciona para informações técnicas produzidas após outubro de 2018. Caso a IT a ser complementada seja de antes deste marco temporal, clique em ""não"" para continuar e informe o número da IT a ser complementada no objetivo da Solicitação."
Como posso localizar o serviço desejado se ele não está listado na página de temas e serviços?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
O que devo fazer se o serviço que procuro não aparece na seção de temas e serviços?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
Não consigo achar o serviço necessário na página de temas e serviços. Qual é o próximo passo?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
O serviço que preciso não está disponível na página de temas e serviços. Como proceder?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
E se o serviço que estou buscando não for encontrado na página de temas e serviços?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
Não encontrei o serviço que preciso na lista de temas e serviços. O que fazer agora?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
O que acontece se o serviço que preciso não estiver listado na página de temas e serviços?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
Não localizei o serviço desejado na página de temas e serviços. Como resolver isso?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
O serviço que procuro não aparece na página de temas e serviços. O que devo fazer?,"Primeiro você deve identificar se o serviço desejado não está em outra área ou tema. Caso realmente não encontre, significa que este não é um serviço prestado pelo GATE. Isso pode se dar por duas razões: i) O GATE não tem capacidade técnica para prestá-lo; ii) o serviço possui um objeto que se caracteriza como genérico, excessivamente amplo e/ou com baixa relação de custo-efetividade (artigo 16, §1º, da OS nº 01/23 do GATE)."
